Time,Solar,Wind
2020-01-01 00:00:00+00:00,0.0,0.14923358299947745
2020-01-01 01:00:00+00:00,0.0,0.15752917610172443
2020-01-01 02:00:00+00:00,0.0,0.15920571329036753
2020-01-01 03:00:00+00:00,0.0,0.16467078906113916
2020-01-01 04:00:00+00:00,0.0,0.16475788190210763
2020-01-01 05:00:00+00:00,0.0,0.1585742901933461
2020-01-01 06:00:00+00:00,0.0,0.156527608430587
2020-01-01 07:00:00+00:00,0.011381916411205876,0.15504703013412297
2020-01-01 08:00:00+00:00,0.09436367499317085,0.15609214422574463
2020-01-01 09:00:00+00:00,0.20554223449782985,0.15513412297509144
2020-01-01 10:00:00+00:00,0.29468540383039427,0.1531527608430587
2020-01-01 11:00:00+00:00,0.33584241357331474,0.15480752482145968
2020-01-01 12:00:00+00:00,0.30889003551157923,0.16621668698832956
2020-01-01 13:00:00+00:00,0.21322123410325675,0.15668002090228184
2020-01-01 14:00:00+00:00,0.07697210671684827,0.15321808047378505
2020-01-01 15:00:00+00:00,0.0037029168057789784,0.17860564361609477
2020-01-01 16:00:00+00:00,0.0,0.2229141264588051
2020-01-01 17:00:00+00:00,0.0,0.26441386518028215
2020-01-01 18:00:00+00:00,0.0,0.28951837658944435
2020-01-01 19:00:00+00:00,0.0,0.29927277477791325
2020-01-01 20:00:00+00:00,0.0,0.3020161992684201
2020-01-01 21:00:00+00:00,0.0,0.27344974743076117
2020-01-01 22:00:00+00:00,0.0,0.2636300296115659
2020-01-01 23:00:00+00:00,0.0,0.26278087441212333
2020-01-02 00:00:00+00:00,0.0,0.25404981710503394
2020-01-02 01:00:00+00:00,0.0,0.25307002264413864
2020-01-02 02:00:00+00:00,0.0,0.24562358474133425
2020-01-02 03:00:00+00:00,0.0,0.2484105556523254
2020-01-02 04:00:00+00:00,0.0,0.25971085176798464
2020-01-02 05:00:00+00:00,0.0,0.28607820937118966
2020-01-02 06:00:00+00:00,0.0,0.3057176450095802
2020-01-02 07:00:00+00:00,0.013051264151516072,0.30874412123323464
2020-01-02 08:00:00+00:00,0.09536528363735697,0.3195218603030831
2020-01-02 09:00:00+00:00,0.1861170971560385,0.3177364570632294
2020-01-02 10:00:00+00:00,0.248065074210095,0.305499912907159
2020-01-02 11:00:00+00:00,0.2613591525783835,0.2889958195436335
2020-01-02 12:00:00+00:00,0.21965581084772515,0.28991029437380245
2020-01-02 13:00:00+00:00,0.1386165659999393,0.30876589444347674
2020-01-02 14:00:00+00:00,0.04258354326645825,0.3384645532137258
2020-01-02 15:00:00+00:00,0.0016086441861170972,0.3727573593450618
2020-01-02 16:00:00+00:00,0.0,0.4216599895488591
2020-01-02 17:00:00+00:00,0.0,0.4669047204319805
2020-01-02 18:00:00+00:00,0.0,0.49584131684375543
2020-01-02 19:00:00+00:00,0.0,0.5124760494687337
2020-01-02 20:00:00+00:00,0.0,0.527281832433374
2020-01-02 21:00:00+00:00,0.0,0.5262802647622365
2020-01-02 22:00:00+00:00,0.0,0.5318324333739767
2020-01-02 23:00:00+00:00,0.0,0.5568498519421703
2020-01-03 00:00:00+00:00,0.0,0.5866791499738722
2020-01-03 01:00:00+00:00,0.0,0.6025518202403762
2020-01-03 02:00:00+00:00,0.0,0.6222783487197352
2020-01-03 03:00:00+00:00,0.0,0.6464901585089705
2020-01-03 04:00:00+00:00,0.0,0.6679149973872147
2020-01-03 05:00:00+00:00,0.0,0.7036666086047727
2020-01-03 06:00:00+00:00,0.0,0.7201924751785403
2020-01-03 07:00:00+00:00,0.007739703159619996,0.723284271032921
2020-01-03 08:00:00+00:00,0.05138555862445746,0.7105904894617663
2020-01-03 09:00:00+00:00,0.09500106231219838,0.7135298728444521
2020-01-03 10:00:00+00:00,0.12080007284426503,0.7147056261975265
2020-01-03 11:00:00+00:00,0.1232585667890855,0.6847674621146141
2020-01-03 12:00:00+00:00,0.08695784138161289,0.6926929106427452
2020-01-03 13:00:00+00:00,0.049837617992533466,0.7034924229228358
2020-01-03 14:00:00+00:00,0.01824141803502595,0.7044068977530047
2020-01-03 15:00:00+00:00,0.0009409050899930191,0.7335176798467166
2020-01-03 16:00:00+00:00,0.0,0.7512410729838007
2020-01-03 17:00:00+00:00,0.0,0.7786099982581431
2020-01-03 18:00:00+00:00,0.0,0.770836962201707
2020-01-03 19:00:00+00:00,0.0,0.7503483713638739
2020-01-03 20:00:00+00:00,0.0,0.7285751611217558
2020-01-03 21:00:00+00:00,0.0,0.7142483887824421
2020-01-03 22:00:00+00:00,0.0,0.7024908552516983
2020-01-03 23:00:00+00:00,0.0,0.6872496080822156
2020-01-04 00:00:00+00:00,0.0,0.6617967253091795
2020-01-04 01:00:00+00:00,0.0,0.6339705626197526
2020-01-04 02:00:00+00:00,0.0,0.6287667653718865
2020-01-04 03:00:00+00:00,0.0,0.6577686814143877
2020-01-04 04:00:00+00:00,0.0,0.6975483365267375
2020-01-04 05:00:00+00:00,0.0,0.744469604598502
2020-01-04 06:00:00+00:00,0.0,0.7659597631074726
2020-01-04 07:00:00+00:00,0.0033993990348134885,0.7870797770423271
2020-01-04 08:00:00+00:00,0.03168725528879716,0.819325901410904
2020-01-04 09:00:00+00:00,0.06650074361853886,0.8404023689252743
2020-01-04 10:00:00+00:00,0.08504567942453031,0.8660729838007316
2020-01-04 11:00:00+00:00,0.08674537894193705,0.8812924577599721
2020-01-04 12:00:00+00:00,0.06753270403982153,0.8792675492074551
2020-01-04 13:00:00+00:00,0.04158193462227214,0.8629811879463508
2020-01-04 14:00:00+00:00,0.015752572313108934,0.8282529176101724
2020-01-04 15:00:00+00:00,0.0008498497587033721,0.8163429716077338
2020-01-04 16:00:00+00:00,0.0,0.7881466643441909
2020-01-04 17:00:00+00:00,0.0,0.744295418916565
2020-01-04 18:00:00+00:00,0.0,0.6848110085350984
2020-01-04 19:00:00+00:00,0.0,0.6260015676711375
2020-01-04 20:00:00+00:00,0.0,0.5467035359693433
2020-01-04 21:00:00+00:00,0.0,0.46794983452360217
2020-01-04 22:00:00+00:00,0.0,0.41329907681588574
2020-01-04 23:00:00+00:00,0.0,0.36291586831562445
2020-01-05 00:00:00+00:00,0.0,0.3225483365267375
2020-01-05 01:00:00+00:00,0.0,0.2881248911339488
2020-01-05 02:00:00+00:00,0.0,0.2647622365441561
2020-01-05 03:00:00+00:00,0.0,0.24869360738547291
2020-01-05 04:00:00+00:00,0.0,0.24211809789235325
2020-01-05 05:00:00+00:00,0.0,0.23258143180630553
2020-01-05 06:00:00+00:00,0.0,0.221977878418394
2020-01-05 07:00:00+00:00,0.005402616323185723,0.21215816059919873
2020-01-05 08:00:00+00:00,0.0593377242237533,0.208151889914649
2020-01-05 09:00:00+00:00,0.12580811606519562,0.202621494513151
2020-01-05 10:00:00+00:00,0.1606823079491304,0.20963246821111303
2020-01-05 11:00:00+00:00,0.1618356754787993,0.21035098414910294
2020-01-05 12:00:00+00:00,0.13026982729838832,0.21690472043198047
2020-01-05 13:00:00+00:00,0.0821319088232616,0.22877112001393485
2020-01-05 14:00:00+00:00,0.029107354235590494,0.25239505312663296
2020-01-05 15:00:00+00:00,0.001638995963213646,0.292588399233583
2020-01-05 16:00:00+00:00,0.0,0.33208500261278523
2020-01-05 17:00:00+00:00,0.0,0.3543154502699878
2020-01-05 18:00:00+00:00,0.0,0.35692823549904196
2020-01-05 19:00:00+00:00,0.0,0.3760668873018638
