Model,Target,MAE,RMSE,MAPE,R2
Fusion-BiLSTM,Solar,0.008396375900785593,0.013179097100474001,291.95583669195526,0.9974993130094318
Fusion-BiLSTM,Wind,0.011582898679438293,0.014986625430062166,14.927334856863189,0.9913024698228339
