Model,Target,MAE,RMSE,MAPE,R2
LLM-BiLSTM,Solar,0.0087862642446522,0.013137504119136344,416.0197398966774,0.997515072343796
LLM-BiLSTM,Wind,0.013031824679192906,0.016591614946035227,14.509588025971413,0.9893397949397202
