Epoch,Training_Loss,Validation_Loss,Training_MAE,Validation_MAE
1,0.01567073166370392,0.003308819839730859,0.08644019812345505,0.042298298329114914
2,0.004558812826871872,0.0025263356510549784,0.04900338128209114,0.03661225736141205
3,0.003469599410891533,0.0019110179273411632,0.042228031903505325,0.03029240295290947
4,0.00283021735958755,0.0019683041609823704,0.03814162686467171,0.034440405666828156
5,0.0025378460995852947,0.0013394401175901294,0.036225274205207825,0.025061458349227905
6,0.0022646209690719843,0.0017122050048783422,0.034294888377189636,0.029472772032022476
7,0.0020474798511713743,0.0010058054467663169,0.0324520580470562,0.022409580647945404
8,0.0019020288018509746,0.000987301697023213,0.03129539266228676,0.021764270961284637
9,0.0017457108478993177,0.0010406279470771551,0.029887715354561806,0.02361730858683586
10,0.001673421123996377,0.0008193893008865416,0.029162060469388962,0.020503360778093338
11,0.0015230100834742188,0.0006572695565409958,0.02778162620961666,0.01766107976436615
12,0.0014887594152241945,0.0006850806530565023,0.027483073994517326,0.019215146079659462
13,0.0014064650749787688,0.0007595649221912026,0.026765737682580948,0.02002338506281376
14,0.0014041836839169264,0.0006462864112108946,0.026678765192627907,0.01840166002511978
15,0.0012786778388544917,0.0006757605005986989,0.02561066299676895,0.019625123590230942
16,0.0012603445211425424,0.0007407182129099965,0.025155000388622284,0.019963780418038368
17,0.0011590828653424978,0.0006171920686028898,0.024291623383760452,0.0179380401968956
18,0.0011263637570664287,0.0005727889365516603,0.024107102304697037,0.016825564205646515
19,0.001124149071983993,0.0005455584032461047,0.02391759306192398,0.016609258949756622
20,0.0010296658147126436,0.0004286320472601801,0.022914644330739975,0.015013991855084896
21,0.0010866716038435698,0.00045138358836993575,0.023753149434924126,0.015351659618318081
22,0.0010243533179163933,0.00044488630373962224,0.022914351895451546,0.014675162732601166
23,0.0010203623678535223,0.00041195470839738846,0.022593781352043152,0.015138301998376846
24,0.0009399442351423204,0.00034347324981354177,0.02200513705611229,0.013603780418634415
25,0.0009903509635478258,0.00039856284274719656,0.022579200565814972,0.01421713549643755
26,0.0009405809687450528,0.00037793084629811347,0.021898560225963593,0.014792162925004959
27,0.0009226276888512075,0.0003342677082400769,0.02174871414899826,0.013364488258957863
28,0.0009087716462090611,0.00039448056486435235,0.02153351716697216,0.014616603963077068
29,0.0008651982061564922,0.0003535852883942425,0.02105812355875969,0.013679392635822296
30,0.0008419074001722038,0.0003069680533371866,0.020738160237669945,0.013046356849372387
31,0.0008270428515970707,0.00033262328361161053,0.020458798855543137,0.013967204838991165
32,0.0008309478289447725,0.00031277985544875264,0.020648285746574402,0.012931219302117825
33,0.0008148143533617258,0.0004524489340838045,0.020513514056801796,0.015780188143253326
34,0.0008388380520045757,0.0003085130010731518,0.02085936814546585,0.013436154462397099
35,0.0007648614118807018,0.00024909136118367314,0.019946610555052757,0.011580360122025013
36,0.0007718800334259868,0.00042109721107408404,0.019908862188458443,0.014969158917665482
37,0.0007599677192047238,0.00041633821092545986,0.019813500344753265,0.015978660434484482
38,0.0007723255548626184,0.0003089532838203013,0.019888881593942642,0.012940321117639542
39,0.000746921868994832,0.0002881655818782747,0.019537052139639854,0.01267155259847641
40,0.0007063988596200943,0.00030665425583720207,0.019069354981184006,0.012375988997519016
41,0.0007371773826889694,0.0003452116216067225,0.01954677142202854,0.014028239995241165
42,0.0007362259784713387,0.00026709382655099034,0.019441921263933182,0.011911692097783089
