Model,Target,MAE,RMSE,MAPE,R2
Normal BiLSTM,Solar,0.010248687359059871,0.014180776659703572,564.2025198321588,0.9971047367786692
Normal BiLSTM,Wind,0.013605624556234364,0.017633622213416016,18.115556101238035,0.9879587574991169
