Solar,Wind
0.0,0.1492335829994774
0.0,0.1575291761017244
0.0,0.1592057132903675
0.0,0.1646707890611391
0.0,0.1647578819021076
0.0,0.1585742901933461
0.0,0.156527608430587
0.0113819164112058,0.1550470301341229
0.0943636749931708,0.1560921442257446
0.2055422344978298,0.1551341229750914
0.2946854038303942,0.1531527608430587
0.3358424135733147,0.1548075248214596
0.3088900355115792,0.1662166869883295
0.2132212341032567,0.1566800209022818
0.0769721067168482,0.153218080473785
0.0037029168057789,0.1786056436160947
0.0,0.2229141264588051
0.0,0.2644138651802821
0.0,0.2895183765894443
0.0,0.2992727747779132
0.0,0.3020161992684201
0.0,0.2734497474307611
0.0,0.2636300296115659
0.0,0.2627808744121233
0.0,0.2540498171050339
0.0,0.2530700226441386
0.0,0.2456235847413342
0.0,0.2484105556523254
0.0,0.2597108517679846
0.0,0.2860782093711896
0.0,0.3057176450095802
0.013051264151516,0.3087441212332346
0.0953652836373569,0.3195218603030831
0.1861170971560385,0.3177364570632294
0.248065074210095,0.305499912907159
0.2613591525783835,0.2889958195436335
0.2196558108477251,0.2899102943738024
0.1386165659999393,0.3087658944434767
0.0425835432664582,0.3384645532137258
0.001608644186117,0.3727573593450618
0.0,0.4216599895488591
0.0,0.4669047204319805
0.0,0.4958413168437554
0.0,0.5124760494687337
0.0,0.527281832433374
0.0,0.5262802647622365
0.0,0.5318324333739767
0.0,0.5568498519421703
0.0,0.5866791499738722
0.0,0.6025518202403762
0.0,0.6222783487197352
0.0,0.6464901585089705
0.0,0.6679149973872147
0.0,0.7036666086047727
0.0,0.7201924751785403
0.0077397031596199,0.723284271032921
0.0513855586244574,0.7105904894617663
0.0950010623121983,0.7135298728444521
0.120800072844265,0.7147056261975265
0.1232585667890855,0.6847674621146141
0.0869578413816128,0.6926929106427452
0.0498376179925334,0.7034924229228358
0.0182414180350259,0.7044068977530047
0.000940905089993,0.7335176798467166
0.0,0.7512410729838007
0.0,0.7786099982581431
0.0,0.770836962201707
0.0,0.7503483713638739
0.0,0.7285751611217558
0.0,0.7142483887824421
0.0,0.7024908552516983
0.0,0.6872496080822156
0.0,0.6617967253091795
0.0,0.6339705626197526
0.0,0.6287667653718865
0.0,0.6577686814143877
0.0,0.6975483365267375
0.0,0.744469604598502
0.0,0.7659597631074726
0.0033993990348134,0.7870797770423271
0.0316872552887971,0.819325901410904
0.0665007436185388,0.8404023689252743
0.0850456794245303,0.8660729838007316
0.086745378941937,0.8812924577599721
0.0675327040398215,0.8792675492074551
0.0415819346222721,0.8629811879463508
0.0157525723131089,0.8282529176101724
0.0008498497587033,0.8163429716077338
0.0,0.7881466643441909
0.0,0.744295418916565
0.0,0.6848110085350984
0.0,0.6260015676711375
0.0,0.5467035359693433
0.0,0.4679498345236021
0.0,0.4132990768158857
0.0,0.3629158683156244
0.0,0.3225483365267375
0.0,0.2881248911339488
0.0,0.2647622365441561
0.0,0.2486936073854729
0.0,0.2421180978923532
0.0,0.2325814318063055
0.0,0.221977878418394
0.0054026163231857,0.2121581605991987
0.0593377242237533,0.208151889914649
0.1258081160651956,0.202621494513151
0.1606823079491304,0.209632468211113
0.1618356754787993,0.2103509841491029
0.1302698272983883,0.2169047204319804
0.0821319088232616,0.2287711200139348
0.0291073542355904,0.2523950531266329
0.0016389959632136,0.292588399233583
0.0,0.3320850026127852
0.0,0.3543154502699878
0.0,0.3569282354990419
0.0,0.3760668873018638
0.0,0.3896969169134297
0.0,0.3883469778784184
0.0,0.3863220693259014
0.0,0.3937467340184636
0.0,0.3813360041804564
0.0,0.3716686988329559
0.0,0.3636997038843407
0.0,0.3619796202752133
0.0,0.3524865006096498
0.0,0.3356775823027347
0.0,0.3144487023166695
0.0095911615625094,0.2993163211983974
0.0716301939478556,0.2979663821633861
0.1486023006647039,0.2965075770771642
0.2129177163322912,0.2820283922661557
0.241873311682399,0.2824203100505138
0.2283060673202416,0.2803300818672705
0.1672079400248884,0.2756488416652151
0.0717212492791452,0.278392266155722
0.0059793000880201,0.3160381466643442
0.0,0.3588878244208326
0.0,0.3928322591882947
0.0,0.4142570980665389
0.0,0.4366399581954363
0.0,0.4547552691168786
0.0,0.462201707019683
0.0,0.4694739592405504
0.0,0.4800775126284619
0.0,0.4698223306044243
0.0,0.462201707019683
0.0,0.4672530917958544
0.0,0.4654459153457586
0.0,0.4588486326423968
0.0,0.4451968298205887
0.0,0.4183069151715728
0.0036118614744893,0.3742161644312837
0.0277718760433423,0.3119230099285838
0.0549367165447537,0.2798292980317018
0.0800072844265031,0.2644356383905243
0.0981576471302394,0.3080691517157289
0.0977023704737912,0.3446045985020031
0.0714784350623729,0.3598676188817279
0.0281664491455974,0.3676188817279219
0.0024584939448204,0.395292631945654
0.0,0.4503135342274865
0.0,0.4975614004528828
0.0,0.5388651802821808
0.0,0.5769465249956454
0.0,0.5992205190733322
0.0,0.5989374673401846
0.0,0.6202752133774604
0.0,0.6476223654415607
0.0,0.6675230796028566
0.0,0.6786927364570632
0.0,0.6777129419961679
0.0,0.6692867096324682
0.0,0.6682851419613308
0.0,0.6692649364222261
0.0,0.6797378505486849
0.0028530670470756,0.679389479184811
0.0200018211066257,0.6801079951228008
0.0432512823625823,0.6713987110259536
0.0599144079885877,0.6460546943041282
0.0622818466021185,0.6051863786796725
0.0527513885938021,0.5591142658073506
0.0374237411600449,0.5069674272774778
0.0166327738489088,0.4442388085699355
0.0008802015357999,0.3835786448353945
0.0,0.3378984497474308
0.0,0.3112698136213203
0.0,0.2930456366486674
0.0,0.2730360564361609
0.0,0.2491508448005573
0.0,0.2200836091273297
0.0,0.1884035882250479
0.0,0.1613830343145793
0.0,0.1451402194739592
0.0,0.1471215816059919
0.0,0.1670005225570458
0.0,0.1992684201358648
0.0,0.2397012715554781
0.0,0.3009275387563142
0.0,0.3785925796899494
0.0052508574377029,0.4697787841839401
0.0406713813093756,0.5580909249259711
0.0958509120709017,0.6121538059571503
0.1340334476583604,0.6519770074899843
0.1582238140043099,0.6816974394704756
0.1506662215072692,0.7006836788016025
0.1063526269463077,0.6892527434244905
0.0422193219412996,0.6861174011496255
0.0042492487935168,0.6673053475004355
0.0,0.6525648841665215
0.0,0.6406113917435987
0.0,0.6188164082912384
0.0,0.5954755269116878
0.0,0.5443955756836788
0.0,0.4859562793938338
0.0,0.4702577948092666
0.0,0.462571851593799
0.0,0.4753744992161644
0.0,0.499259710851768
0.0,0.5109954711722696
0.0,0.5113438425361435
0.0,0.5332041456192301
0.0,0.578165824769204
0.0,0.5859388608256402
0.0125352839408747,0.5896838529872844
0.0794002488845721,0.5857211287232189
0.1460527513885938,0.5823898275561749
0.19604212826661,0.5938643093537711
0.203174795884299,0.6266112175579167
0.1605912526178407,0.6243032572722522
0.0930585485780192,0.6203623062184288
0.036270373630376,0.6308569935551298
0.0029137706012687,0.6608822504790106
0.0,0.6452708587354119
0.0,0.595148928758056
0.0,0.5283269465249957
0.0,0.5031788886953492
0.0,0.4794678627416826
0.0,0.4300209022818324
0.0,0.4066582476920397
0.0,0.3919831039888521
0.0,0.3601506706148754
0.0,0.3485890959763107
0.0,0.3583870405852639
0.0,0.3627416826336875
0.0,0.3637432503048249
0.0,0.3866051210590489
0.0,0.3594321546768855
0.0064952802986614,0.3604772687685072
0.0666525025040216,0.3674882424664693
0.1518499408140346,0.3767636300296115
0.223024858105442,0.3978836439644661
0.2415090903572404,0.4273210242118098
0.2126445503384223,0.4638129245775997
0.1510304428324278,0.4835394530569587
0.0626764197043737,0.4940341403936596
0.0066773909612407,0.5308961853335655
0.0,0.5720040062706845
0.0,0.6062532659815363
0.0,0.6249782267897579
0.0,0.6491029437380247
0.0,0.6519116878592579
0.0,0.6319456540672357
0.0,0.6350592231318586
0.0,0.6293328688381815
0.0,0.6239548859083783
0.0,0.623889566277652
0.0,0.6324028914823201
0.0,0.6377808744121233
0.0,0.645466817627591
0.0,0.6667610172443825
0.0,0.6820458108343495
0.0127477463805505,0.690254311095628
0.0862293987312957,0.6969822330604424
0.1662973867119919,0.715141090402369
0.2086988193158709,0.714052429890263
0.2095183172974777,0.7335612262672008
0.1827784016754181,0.7354119491377809
0.1221659028136097,0.7426624281484062
0.0491395271193128,0.7473001219299773
0.0044313594560961,0.7636953492422923
0.0,0.7825727225222087
0.0,0.7806349068106602
0.0,0.78135342274865
0.0,0.7857298380073158
0.0,0.7810703710155025
0.0,0.7296638216338617
0.0,0.6720736805434593
0.0,0.5978488068280787
0.0,0.5377765197700749
0.0,0.4647273994077687
0.0,0.4027390698484585
0.0,0.367814840620101
0.0,0.3508752830517331
0.0,0.3360477268768507
0.0,0.3198484584567148
0.0053419127689926,0.3260538233757185
0.0439797250128995,0.3077860999825814
0.1035906152305217,0.2978575161121756
