Architecture,MAE,RMSE,MAPE,R2 Score
1 Layer,0.009660183701738639,0.013635084788939003,6950608.853144453,0.9947441652017803
2 Layers,0.01517600032627692,0.020836068833526407,9967172.52476132,0.9883822982245293
3 Layers,0.01445209401446683,0.02009960973886922,6237108.270019547,0.9895545896744948
