Model,Target,MAE,RMSE,MAPE,R2
PSO-BiLSTM,Solar,0.009178308700481808,0.01391615067478502,265.2716923107721,0.9972117849702495
PSO-BiLSTM,Wind,0.011312372925619731,0.014665479629621149,13.945237924664811,0.9916712316990492
